Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR15500954,2022-09-01 00:04:21,2021-08-17 12:35:40,191844,86136525,191844,448,24,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15500/SRR15500954/SRR15500954.lite.1,SRX11800422,M12_16S,AMPLICON,unspecified,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP332886,PRJNA755178,,755178,SRS9802947,SAMN20836146,simple,410658,soil metagenome,M12a,,,,,,,no,,,,,MARS WRIGLEY,SRA1279492,,public,20108211CE1494EDC1622BC2FEC26422,8550D5CEDB308ED840CC4DE564481E95
SRR15500949,2022-09-01 00:04:21,2021-08-17 12:35:35,199620,89029645,199620,445,26,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15500/SRR15500949/SRR15500949.lite.1,SRX11800427,M12_ITS,AMPLICON,unspecified,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP332886,PRJNA755178,,755178,SRS9802952,SAMN20836213,simple,410658,soil metagenome,M12b,,,,,,,no,,,,,MARS WRIGLEY,SRA1279492,,public,6C28AFC38343212626C49FD0543E36B8,60368D7467CF1A1FD85BE2CCCA4D0E4A
SRR15500943,2022-09-01 00:04:21,2021-08-17 12:35:30,212279,95311851,212279,448,27,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR015/15500/SRR15500943/SRR15500943.lite.1,SRX11800433,M13_16S,AMPLICON,unspecified,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP332886,PRJNA755178,,755178,SRS9802958,SAMN20836147,simple,410658,soil metagenome,M13a,,,,,,,no,,,,,MARS WRIGLEY,SRA1279492,,public,DC382B4B51F7012297AEA57568D659DA,90F978593A34D9783285E216616BB386
SRR15500948,2022-09-01 00:04:21,2021-08-17 12:35:44,189954,84718958,189954,445,24,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15500/SRR15500948/SRR15500948.lite.1,SRX11800428,M13_ITS,AMPLICON,unspecified,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP332886,PRJNA755178,,755178,SRS9802953,SAMN20836214,simple,410658,soil metagenome,M13b,,,,,,,no,,,,,MARS WRIGLEY,SRA1279492,,public,1097777AA80BB70099C96CEB4A1A9D53,B1ACE2446A944847DCA31A3EB555F264
SRR15500932,2022-09-01 00:04:22,2021-08-17 12:35:19,195492,87774778,195492,448,25,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15500/SRR15500932/SRR15500932.lite.1,SRX11800444,M14_16S,AMPLICON,unspecified,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP332886,PRJNA755178,,755178,SRS9802968,SAMN20836148,simple,410658,soil metagenome,M14a,,,,,,,no,,,,,MARS WRIGLEY,SRA1279492,,public,69F495FC2B68D451A6AB6B5DDC864474,0E50B3889E089BE480E6D29B88BD0E3D
SRR15500947,2022-09-01 00:04:21,2021-08-17 12:35:39,183890,82014348,183890,445,23,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15500/SRR15500947/SRR15500947.lite.1,SRX11800429,M14_ITS,AMPLICON,unspecified,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP332886,PRJNA755178,,755178,SRS9802954,SAMN20836215,simple,410658,soil metagenome,M14b,,,,,,,no,,,,,MARS WRIGLEY,SRA1279492,,public,AC68521A2707641D645A0852927DF460,362899FBE48C73ADA0D32271CBB97AEA
SRR15500946,2022-09-01 00:04:21,2021-08-17 12:35:30,190211,84833352,190211,445,25,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15500/SRR15500946/SRR15500946.lite.1,SRX11800430,M16_ITS,AMPLICON,unspecified,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP332886,PRJNA755178,,755178,SRS9802955,SAMN20836216,simple,410658,soil metagenome,M16b,,,,,,,no,,,,,MARS WRIGLEY,SRA1279492,,public,343024CCE421D6307A5E6A8161718F6E,8BA06A7D6D20988D59F2531A96296F20
SRR15500945,2022-09-01 00:04:21,2021-08-17 12:35:28,195216,87065503,195216,445,25,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15500/SRR15500945/SRR15500945.lite.1,SRX11800431,M17_ITS,AMPLICON,unspecified,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP332886,PRJNA755178,,755178,SRS9802956,SAMN20836217,simple,410658,soil metagenome,M17b,,,,,,,no,,,,,MARS WRIGLEY,SRA1279492,,public,9F388FA6A9A3867E6268303693373F76,E9546924907D7224919787406884F727
SRR15500944,2022-09-01 00:04:21,2021-08-17 12:35:41,209473,93423667,209473,445,27,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR015/15500/SRR15500944/SRR15500944.lite.1,SRX11800432,M18_ITS,AMPLICON,unspecified,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP332886,PRJNA755178,,755178,SRS9802957,SAMN20836218,simple,410658,soil metagenome,M18b,,,,,,,no,,,,,MARS WRIGLEY,SRA1279492,,public,CB1E8C8707396B565B0BB615612ED782,1850C5CA4E93293A68E91A0FEC4AC5A6
SRR15500942,2022-09-01 00:04:21,2021-08-17 12:35:29,200774,89544385,200774,445,26,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR015/15500/SRR15500942/SRR15500942.lite.1,SRX11800434,M19_ITS,AMPLICON,unspecified,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP332886,PRJNA755178,,755178,SRS9802959,SAMN20836219,simple,410658,soil metagenome,M19b,,,,,,,no,,,,,MARS WRIGLEY,SRA1279492,,public,C69F40E2109EE2AD1D9BD19BDA2C9499,879BD99028A6788C90A4451BD21354E3
